Time,Size,Location,County,State,Lat,Lon,Comments
2221,175,3 WNW Brownson,Cheyenne,NE,41.19,-103.13,Fire chief reports golf ball size hail. (CYS)
2238,100,1 S Arkansas City,Cowley,KS,37.05,-97.04,KAKE storm spotter reported a few quarter size hail stones in south part of Arkansas City. (ICT)
